Book Title,Authors,Rating,ISBN,ASIN,Number of Pages,Format,Genres
Surveying the American Tropics,"Maria Cristina Fumagalli, Peter Hulme, Owen Robinson, Lesley Wylie",,9781846318900,,377,paperback,Literary Criticism
Fiction in French - Fiction in Soviet,British Library,,9783111576695,,464,ebook,Reference
"Science, Culture and Society",Mark Erickson,,9780745629759,,254,paperback,Science
Conservation of Renewable Natural Resources,"Raphael Zon, William S. Cooper",,9781512819519,,208,paperback,Nature
Astrofuturism,De Witt Douglas Kilgore,5,9780812218473,,308,paperback,Literary Criticism
The Nobel Prize,Burton Feldman,,9781559705929,,520,paperback,History
The Secret Life of Literature,Lisa Zunshine,,9780262046336,,337,paperback,Science
Handbook of the American Short Story,"Erik Redling, Oliver Scheiding",,9783110585322,,513,ebook,Literary Criticism
Science in the Twentieth Century,"John Krige, Dominique Pestre",,9781134406937,,986,ebook,History
Companion to Science in the Twentieth Century,"John Krige, Dominique Pestre",,9780415286060,,988,paperback,History
The Perversity of Things,Hugo Gernsback,,9781452953144,,745,paperback,Literary Criticism
Companion Encyclopedia of Science in the Twentieth Century,"John Krige, Dominique Pestre",,9781136483325,,979,paperback,History
Cultivating Sustainability in Language and Literature Pedagogy,Roman Bartosch,,9781000369762,,159,ebook,Education
Human Technological Enhancement and Theological Anthropology,Victoria Lorrimar,,9781009089814,,357,ebook,Religion
Fiction in American Magazines Before 1800,Edward W. R. Pitcher,,,,344,paperback,Language Arts & Disciplines
Gedanken Fictions,Thomas A. Easton,,9781587150692,,230,paperback,Fiction
The History of Science Fiction,A. Roberts,,9780230554658,,385,ebook,Fiction
The Routledge Handbook of Philosophy of Scientific Modeling,"Tarja Knuuttila, Natalia Carrillo, Rami Koskinen",,9781040090435,,796,ebook,Philosophy
The Significance of the Hypothetical in the Natural Sciences,"Michael Heidelberger, Gregor Schiemann",,9783110210620,,385,ebook,Philosophy
The Past Is a Foreign Country – Revisited,David Lowenthal,,9781139915663,,679,ebook,History
Science Fact and Science Fiction,Brian M. Stableford,5,9780415974608,,758,paperback,Fiction
Modelling Nature: An Opinionated Introduction to Scientific Representation,"Roman Frigg, James Nguyen",,9783030451530,,250,ebook,Philosophy
Encyclopedia of Time,Samuel L. Macey,,9780815306153,,730,paperback,Reference
Out of Time,"Samuel Baron, Kristie Miller, Jonathan Tallant",,9780192688279,,346,ebook,Philosophy
The Appropriation of Cultural Capital,Milena Doleželová-Velingerová,,9780674007864,,384,paperback,History
Hollyweird Science,"Kevin R. Grazier, Stephen Cass",,9783319150727,,315,ebook,Science
Destined for the Stars,Catherine L. Newell,,9780822986652,,313,paperback,Science
Outer Space and Popular Culture,Annette Froehlich,,9783030226565,,181,ebook,Technology & Engineering
Narrative Innovation and Cultural Rewriting in the Cold War Era and After,M. Cornis-Pope,,9781403970039,,333,ebook,Science
Our Shared Storm,Andrew Dana Hudson,,9780823299553,,158,ebook,Fiction
The Routledge Handbook of Ecofeminism and Literature,Douglas A. Vakoch,,9781000634419,,881,ebook,Literary Criticism
"Handbook of Space Engineering, Archaeology, and Heritage","Ann Darrin, Beth L. O'Leary",5,9781420084320,,1038,ebook,Science
Funology 2,"Mark Blythe, Andrew Monk",,9783319682136,,550,ebook,Computers
Fictions of the Cosmos,Frédérique Aït-Touati,,9780226011240,,273,ebook,Science
Science in the Contemporary World,Eric G. Swedin,,9781851095292,,409,ebook,Science
A Human Algorithm,Flynn Coleman,,9781911545583,,317,ebook,Computers
Coming to Terms with a Crisis,"Michael Fuchs, Martin Butler, Sina Farzin, Fabian Hempel",,9783839470602,,307,ebook,Social Science
"The Handbook of Science and Technology Studies, fourth edition","Ulrike Felt, Rayvon Fouche, Clark A. Miller, Laurel Smith-Doerr",,9780262035682,,1210,paperback,Science
New Essays on Frege,"Gisela Bengtsson, Simo Säätelä, Alois Pichler",,9783319711867,,186,ebook,Mathematics
Between Literature and Science,Peter Swirski,,9780773520783,,212,paperback,Literary Criticism
Books About Life,"Ivan King, books about life",,,,32,ebook,Science
Transhumanisms and Biotechnologies in Consumer Society,"Jennifer Takhar, Rika Houston, Nikhilesh Dholakia",,9781000789065,,223,ebook,Business & Economics
Introduction to Cosmetic Formulation and Technology,"Gabriella Baki, Kenneth S. Alexander",,9781118764701,,720,paperback,Science
Textbooks and Educational Media: Perspectives from Subject Education,"Péter Bagoly-Simó, Zuzana Sikorová",,9783030803469,,460,ebook,Education
The Joy of Being Eaten,Lawrence Vandervert,,9781499074550,,177,paperback,Science
The Health Humanities in German Studies,Stephanie M. Hilger,,9781350296206,,465,ebook,Literary Criticism
Teaching the Literature of Climate Change,Debra J. Rosenthal,,9781603296366,,189,ebook,Language Arts & Disciplines
Interdisciplinary Perspectives on Math Cognition,Marcel Danesi,,9783030225377,,343,ebook,Mathematics
Encyclopedia of Science and Technology Communication,Susanna Hornig Priest,,9781412959209,,1145,paperback,Language Arts & Disciplines
"Film, Environment, Comedy","Robin L. Murray, Joseph K. Heumann",,9781000588620,,168,ebook,Social Science
Cloning,Stephen D. Fairbanks,,9781590338797,,252,paperback,Science
Cybernetic Architectures,Camilo Andrés Cifuentes Quin,,9781000422610,,164,ebook,Architecture
Experimental Approaches to Pragmatics,"Valentina Cuccio, Pietro Robert Perconti, Gerard Steen, Yury Y. Shtyrov, Yan Huang",,9782889761326,,287,paperback,Science
Science Fiction Prototyping,Brian David Johnson,,9781608456550,,191,ebook,Computers
The Holocaust of Texts,Amy Hungerford,,9780226360768,,216,paperback,History
Science & Engineering Indicators,,,,,496,ebook,Electronic journals
Descartes and the Possibility of Science,Peter A. Schouls,,9780801437755,,202,paperback,Philosophy
Irish Urban Fictions,"Maria Beville, Deirdre Flynn",,9783319983226,,247,ebook,Literary Criticism
The Loom of God,Clifford A. Pickover,4,9781402764004,,292,paperback,Mathematics
From “Modern” to “Postmodern” Psychology: Is There a Way Past?,"Barbara Hanfstingl, Timo Gnambs, Peter Adriaan Edelsbrunner, Jana Uher, Ulrich Dettweiler",,9782832519448,,190,paperback,Science
The Oxford Companion to the History of Modern Science,John L. Heilbron,,9780195112290,,994,paperback,Science
"The Sage Encyclopedia of Qualitative Research Methods: A-L ; Vol. 2, M-Z Index",Lisa M. Given,,9781412941631,,1073,paperback,Reference
Notices of the Proceedings,Royal Institution of Great Britain,,,,638,ebook,Science
Philosophical Magazine,,,,,586,ebook,Physics
"The London, Edinburgh and Dublin Philosophical Magazine and Journal of Science",,,,,1160,ebook,Physics
Calamity Theory,"Joshua Schuster, Derek Woods",,9781452966588,,142,ebook,Philosophy
"The Saturday Review of Politics, Literature, Science and Art",,,,,840,ebook,Art
"Walford's Guide to Reference Material: Generalia, language and literature, the arts","Albert John Walford, Marilyn Mullay, Priscilla Schlicke, Library Association",,,,1212,paperback,Art
"The Saturday Review of Politics, Literature, Science, Art, and Finance",,,,,952,ebook,Art
Climate Change Fictions: Representations of the Dark Anthropocene,"Jiang Lifu, Ge Youran, Sheng Caorui, You Lei, Yuan Yao",,9781649973993,,348,ebook,Science
"Notices of the Proceedings at the Meetings of the Members of the Royal Institution, with Abstracts of the Discourses",Royal Institution of Great Britain,,,,632,ebook,Science
Journal and Proceedings of the Hamilton Association,Hamilton Association,,,,814,ebook,Science
Journal and Proceedings of the Hamilton Association,,,,,988,ebook,Science
Current,,,,,444,ebook,Art
Hardwicke's Science-gossip,"Mordecai Cubitt Cooke, John Eller Taylor",,,,444,ebook,Natural history
The Tyrannosaurus Prescription and 100 Other Essays,Isaac Asimov,,,,332,paperback,Science
Science Pamphlets,,,,,510,ebook,Science
Transactions,Burnley Literary and Scientific Club,,,,586,ebook,Literature
Lippincott's Monthly Magazine,,,,,784,ebook,American literature
The Popular Science Monthly,,,,,902,ebook,Science
Popular Science Monthly and World's Advance,,,,,900,ebook,Science
The Science Teacher,,,,,848,paperback,Science
New Scientist,,,,,312,paperback,Electronic journals
Public Understanding of Science,,,,,788,paperback,Electronic journals
"Meaning, Intentions, and Argumentation","Kepa Korta, Joana Garmendia",,,,264,paperback,History
Nature,Sir Norman Lockyer,,,,1354,ebook,Electronic journals
Scientific American,,,,,458,ebook,Science
A Comprehensive Bibliography of Elementary Books on Science and Mathematics,"Carl J. Leibel, inc., La Puente, Calif",,,,80,paperback,Children's literature
Futures Unlimited,"Robert M. Fitch, Cordell M. Svengalis",,,,100,paperback,"Body, Mind & Spirit"
"Possible Worlds in Humanities, Arts and Sciences",Sture Allén,,,,472,paperback,Education
Popular Science,,,,,1842,paperback,Science
Reaching for the High Frontier,Michael Michaud,,,,470,paperback,Science
Bulletin of the Atomic Scientists,,,,,634,paperback,Nuclear energy
Boston Studies in the Philosophy of Science,,,,,686,paperback,Relativity (Physics)
Science Digest,,,,,962,paperback,Science
Transactions,Leicester Literary & Philosophical Society,,,,1256,ebook,Science
The Classification of Nonbook Materials in Academic Libraries,"Donald D. Hendricks, Donald J. Lehnus, Donald LeRoy Foster, Frederick Wilfrid Lancaster, Gary Dorman Wiggins, Mollie W. Kramer, Peter P. Olevnik, Rhea Joyce Rubin, Scott Adams, W. Bernard Lukenbill",,,,420,paperback,Anglo-American cataloging rules (North American text)
Modern Biology & Visions of Humanity,European Group on Life Sciences,,,,216,paperback,Business & Economics
Practices of the Sentimental Imagination,Jonathan E. Zwicker,,,,296,paperback,Education
Federal and State Government Publications of Professional Interest to the School Librarian,"Donald D. Hendricks, Donald J. Lehnus, Donald LeRoy Foster, Eugene Trahin Neely, Frederick Wilfrid Lancaster, Gary Dorman Wiggins, Guy Ottewell, Lawrence McGrath, Marilyn A. Lester, Mollie W. Kramer, Peter P. Olevnik, Peter Randolph Hamlin, Scott Adams, University of Illinois at Urbana-Champaign. Graduate School of Library and Information Science, W. Bernard Lukenbill, Irving Lieberman",,,,706,paperback,Anglo-American cataloging rules (North American text)
Lippincott's Magazine of Popular Literature and Science,,,,,778,ebook,Civilization
"Lippincott's Magazine of Literature, Science and Education",,,,,792,ebook,Education
Report of the ... Meeting of the British Association for the Advancement of Science,British Association for the Advancement of Science. Meeting,,,,952,ebook,Science
Report of the ... Meeting of the British Association for the Advancement of Science,British Association for the Advancement of Science,,,,956,ebook,Science
"Lippincott's Magazine of Literature, Science and Education",,,,,792,ebook,Education
Science,John Michels (Journalist),,,,880,ebook,Science
Practising Science Communication in the Information Age,Richard Holliman,,,,268,paperback,Language Arts & Disciplines
Research Studies,Washington State University,,,,590,paperback,Science
Opus Three Hundred,Isaac Asimov,4,,,404,paperback,Fiction
Ometeca,,,,,258,paperback,Literature and science
The Screenwriter's Handbook 2009,Barry Turner,,,,308,paperback,Juvenile Nonfiction
The School Science Review,,,,,1278,paperback,Science
Cosmic Catastrophes,Gerrit L. Verschuur,,,,232,paperback,Nature
Science Illustrated,,,,,1074,paperback,Mountaineering
Appraisal,,,,,464,paperback,Science
The Oxford Book of Fantasy Stories,T. A. Shippey,,,,536,paperback,Fiction
Yearbook of science & the future,"Encyclopaedia Britannica, Inc",,9780852293751,,450,paperback,Science
"Media, Risk, and Science",Stuart Allan,,,,264,paperback,Performing Arts
"Saturday Review of Politics, Literature, Science and Art",,,,,1188,ebook,Art
Integrating Science and Language Arts,"Donna Gail Shaw, Claudia S. Dybdahl",,,,296,paperback,Education
Discover,,1,,,1296,paperback,Science
Student Handbook,Gorton Carruth,,9780835227650,,1304,paperback,Encyclopedias and dictionaries
Déliberations Et Mémoires de la Société Royale Du Canada,Royal Society of Canada,,,,612,ebook,Humanities
Science Reporter,,,,,704,paperback,Science
Encyclopedia of Global Warming,Steven I. Dutch,,,,464,paperback,Nature
Biopoetics,"Brett Cooke, Frederick Turner",,,,526,paperback,Literary Criticism
Cybersexualities,Jenny Wolmark,,,,392,paperback,Computers
After Mao,National Endowment for the Humanities,,,,390,paperback,Fiction
Collecting Science Literature for General Reading,University of Illinois (Urbana-Champaign campus). Graduate School of Library Science,,,,206,paperback,Best books
Teaching Children Science: an Inquiry Approach,"Louis I. Kuslan, A. Harris Stone",,,,488,paperback,Learning by discovery
Our Evolving Universe,Walter H. Hesse,,9780822101840,,506,paperback,Science
New Scientist and Science Journal,,,,,618,paperback,Science
Science Anxiety,Jeffry V. Mallow,,,,230,paperback,Science
Analog Yearbook,Ben Bova,,,,308,paperback,Science
Intelligentsia Science,"Michael D. Gordin, Karl Hall, A. B. Kozhevnikov",,,,304,paperback,Science
Yale Scientific,,,,,668,paperback,Engineering
American Novelists Since World War II.,"James Richard Giles, Wanda H. Giles",,,,416,paperback,Biography & Autobiography
Science and Its Publics,"Alice R. Bell, Sarah R. Davies, Felicity Mellor",,,,218,paperback,Science
University of Wyoming Publications,University of Wyoming,,,,658,paperback,Science
Bulgarian Horizons,,,,,810,paperback,Arts
Popular Science Monthly and World Advance,,,,,934,ebook,Science
Appletons' Popular Science Monthly,William Jay Youmans,,,,898,ebook,Science
The Monist,Paul Carus,,,,688,ebook,Electronic journals
Appletons' Popular Science Monthly,William Jay Youmans,,,,898,ebook,Science
The Monist,Paul Carus,,,,688,ebook,Electronic journals
The Advancement of Science,,,,,748,paperback,Science
The New Englander,,,,,808,ebook,Criticism
A Modern Wizard,Rodrigues Ottolengui,3,,,454,ebook,Science
"The Canadian Journal of Science, Literature and History",,,,,744,ebook,Science
Transactions of the Ottawa Literary and Scientific Society,Ottawa Literary and Scientific Society,,,,568,ebook,Literature
Essays Upon Some Controverted Questions,Thomas Henry Huxley,,,,512,ebook,Religion and science
Transactions of the American Philosophical Society,,,,,580,paperback,American periodicals
Calvino's Fictions,Kathryn Hume,,,,232,paperback,Literary Criticism
Memoirs of the Manchester Literary and Philosophical Society,Manchester Literary and Philosophical Society,,,,554,paperback,Science
Career Information Center,"Mary Rose Bonk, Jennifer Greve",,9780028660493,,228,paperback,Agricultural industries
Science Fare,"Wendy Saul, Alan R. Newman",,,,316,paperback,Antiques & Collectibles
"Exploitation, Conservation, Preservation","Susan L. Cutter, Hilary Lambert Renwick, William H. Renwick",,,,488,paperback,Business & Economics
Science and Social Evolution Implications for Public Policy,Lynton Keith Caldwell,,,,332,paperback,Science
Academy,,,,,336,paperback,Science
The Oxford Book of Historical Stories,"Michael Cox, Jack Adrian",,9780192832085,,468,paperback,Fiction
Science for the Elementary School Teacher,Gerald Spellman Craig,,,,920,paperback,Science
Synthesis,,,,,148,paperback,Science
Science Scope,,,,,710,paperback,Science
Instructional Video Materials in Indiana,"W. Neal Robison, Susan B. Rutledge",,,,360,paperback,Business education
Communicating Science to the Public,"David Evered, Maeve O'Connor",,,,232,paperback,Language Arts & Disciplines
Research and Technological Development Info,,,,,408,paperback,Science
Memoirs and Proceedings Ofthe Manchester Literary & Philosophical Society. (Manchester Memoirs),Manchester Literary and Philosophical Society,,,,486,paperback,Science
Analog Essays on Science,Stanley Schmidt,,,,296,paperback,Science
War Stars,Howard Bruce Franklin,,,,296,paperback,Fiction
Readings for Citizens at War,"Theodore Morrison, Philip Edward Burnham",,,,404,paperback,Readers
RTD Info,,,,,546,paperback,Electronic journals
Dying Planet,Robert Markley,,,,464,paperback,Fiction
Science & Public Policy,,,,,352,paperback,Science
Appletons' Journal,,,,,616,ebook,Art
Glyph,Samuel Weber,,,,232,paperback,Literary Criticism
Tsunamis,Horace M. Karling,,,,224,paperback,Nature
Philosophy,A. C. Grayling,,,,700,paperback,Philosophy
The Time of Theory,Patrick Ffrench,,,,330,paperback,Foreign Language Study
STTH,,,,,198,paperback,Science
School Science,,,,,130,paperback,English periodicals
Gay and Gaia,Daniel Teberg Spencer,,,,472,paperback,Philosophy
Bits of Life,"Anneke Smelik, Nina Lykke",,,,244,paperback,Computers
Meeting the Challenges of the Future,Walter Rüegg,,,,236,paperback,Philosophy
Meeting the Challenges of the Future,Walter Rüegg,,,,236,paperback,Philosophy
"Past, Present, and Future",Isaac Asimov,,,,392,paperback,Fiction
Mighty is the Charm,J. Clifton Albergotti,,,,256,paperback,Science
Tactical Biopolitics,"Beatriz Da Costa, Kavita Philip",,,,542,paperback,Art
Bits of Life,"Anneke Smelik, Nina Lykke",,,,244,paperback,Computers
The Coming Convergence,Stanley Schmidt,,,,296,paperback,Computers
The Writing on the Cloud,"Alison M. Scott, Christopher D. Geist",,,,264,paperback,History
Opus Two Hundred,Isaac Asimov,,,,358,paperback,Fiction
The Science Wars,Keith M. Parsons,,,,336,paperback,Political Science
Red Cosmos,James T. Andrews,,,,182,paperback,Biography & Autobiography
The Space Race,,,9780762102877,,168,paperback,Science
Proceedings of the British Academy,,,,,464,paperback,Bible
Potter's American Monthly,,,,,980,ebook,American literature
Science Books & Films,,,,,518,paperback,Science
Research News - Division of Research Development and Administration,University of Michigan. Division of Research Development and Administration,,,,496,paperback,Research
Colorado College Publication,Colorado College,,,,580,paperback,Language and languages
Improvement of the Understanding,Benedictus de Spinoza,,,,488,paperback,Ethics
Fantastic Reading,"Isaac Asimov, Martin Harry Greenberg, David Clark Yeager",,9780673159366,,188,paperback,Education
New Zealand Science Review,,,,,180,paperback,Science
Proceedings of the Literary & Philosophical Society of Liverpool,,,,,158,paperback,Humanities
Climate Change Communication,"Daniel James Scott, Canada. Environment Canada, University of Waterloo",,,,726,paperback,Nature
Indiana University Studies,,,,,42,paperback,Science
The Unesco Courier,Unesco,,,,440,paperback,Developing countries
Nova 1965-1975,David Hillman,,,,232,paperback,Performing Arts
Science & Culture,,,,,368,paperback,Electronic journals
Popular Science Monthly,,,,,876,paperback,Science
Knowledge & Illustrated Scientific News,,,,,528,paperback,Science
"The Journal of Philosophy, Psychology and Scientific Methods",,,,,876,paperback,Electronic journals
"ISIS Cumulative Bibliography 1966-1975: Subjects, periods and civilizations",History of Science Society,,,,730,paperback,Science
Main Currents in Modern Thought,,,,,256,paperback,Books
Educational Tests for Use in Elementary Schools,"Charles Watters Odell, University of Illinois (Urbana-Champaign campus). Bureau of Educational Research, Walter Scott Monroe, Marion Eugene Herriott, Thomas Tristam Hamilton, Max Dissette Engelhart",,,,708,paperback,Ability
The Outline of Man's Knowledge,Clement Wood,,,,736,paperback,Art
Men of Science and Industry,Carnegie Library of Pittsburgh,,,,208,paperback,Biography
Anticipations of the Reaction of Mechanical and Scientific Progress Upon Human Life and Thought,Herbert George Wells,,,,344,paperback,History
Knowledge,,,,,516,paperback,Science
The International Encyclopedia of Science,James Roy Newman,,,,372,paperback,Science
The Harper Encyclopedia of Science,James Roy Newman,,,,378,paperback,Science
Report on the Progress and Condition of the United States National Museum,United States National Museum,,,,820,paperback,Science
Report of the National Museum,United States National Museum,,,,812,paperback,Science
Circulars,Johns Hopkins University,,,,1364,paperback,Science
Report on the Progress and Condition of the United States National Museum,United States National Museum,,,,820,paperback,Science
Circulars,Johns Hopkins University,,,,1364,paperback,Science
State Course of Study High Schools of Virginia ...,Virginia. State Board of Education,,,,96,paperback,Business education
Report of the Assistant Director and of the Curators of the U.S. National Museum,United States National Museum,,,,796,paperback,Science
The Amateur Naturalist,,,,,258,paperback,Natural history
Report of the National Museum,United States National Museum,,,,812,paperback,Science
Notices of the Proceedings,Royal Institution of Great Britain,,,,542,paperback,Science
The Making of America,"Robert Marion La Follette, William M. Handy, Charles Higgins",,,,534,paperback,Inventors
Congress of Arts and Science,Howard Jason Rogers,,,,534,paperback,Arts
Proceedings of the American Philosophical Society Held at Philadelphia for Promoting Useful Knowledge,American Philosophical Society,,,,784,paperback,Electronic journals
School Science and Mathematics,,,,,1030,paperback,Education
"A List of Bibliographies of Special Subjects, July, 1902",John Crerar Library,,,,520,paperback,Bibliographical literature
Eclectic Magazine,,,,,856,paperback,Arts
The Saturday Review,,5,,,1018,paperback,Art
Isis Cumulative Bibliography 1986-1995: Subjects. Time periods: Antiquity through 18th century,John Neu,,,,648,paperback,Reference
"Trabajos del cuarto Congreso científico ( 1.0 Pan-americano) celebrado en Santiago de Chile del 25 de diciembre de 1908 al 5 de enero de 1909 ...: (VII. seccion) Derecho internacional, constitucional e historia, pub. bajo la direccion de Jorge Errazuriz Tagle. 1912","Pan-American scientific congress. 1st, Santiago de Chile, 1908-1909",,,,848,paperback,Science
Trabajos,,,,,846,paperback,Science
"Trabajos del cuarto Congreso científico: (VIII. sección) Ciencias pedagógicas y filosofía, pub. bajo la dirección de Moises Vargas M. 1911. 2 v",,,,,850,paperback,Science
Trabajos del cuarto Congreso científico ( 1.0 Pan-americano) celebrado en Santiago de Chile del 25 de diciembre de 1908 al 5 de enero de 1909 ...,,,,,852,paperback,Science
Proceedings of the American Academy of Arts and Letters and the National Institute of Arts and Letters,American Academy of Arts and Letters,,,,198,paperback,Arts
"The Saturday Review of Politics, Literature, Science, Art, and Finance",,,,,892,paperback,Art
Margaret Atwood's Dystopian Fiction,Sławomir Kuźnicki,,9781443892698,,227,ebook,Literary Criticism
Why We Read Fiction,Lisa Zunshine,3,9780814210284,,210,paperback,Literary Criticism
Different Engines,"Mark Brake, Neil Hook",,9780230553972,,388,paperback,Science
Science Fact and Science Fiction,Brian M. Stableford,5,9780415974608,,758,paperback,Fiction
Science fiction and innovation,Thomas Michaud,,9782953257397,,136,ebook,Business & Economics
"Fact, Fiction, and Forecast",Nelson Goodman,,,,162,paperback,Philosophy
"Nineteenth Century Popular Fiction, Medicine and Anatomy",Anna Gasperini,,9783030109165,,268,ebook,Literary Criticism
The Routledge Anthology of Climate Fiction,Bill Gillard,,9781040120323,,615,ebook,Fiction
Science Fiction Prototyping,Brian David Johnson,,9781608456567,,190,paperback,Fiction
"Science, Medicine, and Aristocratic Lineage in Victorian Popular Fiction",Abigail Boucher,,9783031411410,,241,ebook,Literary Criticism
Dune,Frank Herbert,4.5,9780575104419,,743,ebook,Fiction
Time Machines,Paul J. Nahin,,9780387985718,,674,paperback,Science
The Legacies of Ursula K. Le Guin,"Christopher L. Robinson, Sarah Bouttier, Pierre-Louis Patoine",,9783030828271,,149,ebook,Fiction
Architecture and Science-Fiction Film,David T. Fortin,,9781351957465,,251,ebook,Architecture
Pseudoscience and Science Fiction,Andrew May,,9783319426051,,188,ebook,Science
Victorian Narratives of the Recent Past,Helen Kingstone,,9783319495507,,248,ebook,Literary Criticism
"English Fiction and the Evolution of Language, 1850–1914",Will Abberley,,9781316300879,,249,ebook,Literary Criticism
Ding Ling's Fiction,Yi-tsi Mei Feuerwerker,,,,224,paperback,Literary Criticism
Comeuppance,William Flesch,,9780674026315,,272,paperback,Language Arts & Disciplines
The Secret Window,Anthony Hood Chambers,,9780674796744,,196,paperback,Literary Criticism
The Near Future in 21st Century Fiction,David Sergeant,,9781009279888,,239,paperback,Art
The Edges of the Earth in Ancient Thought,James S. Romm,,9780691037882,,247,paperback,History
Ethical Futures and Global Science Fiction,"Zachary Kendal, Aisling Smith, Giulia Champion, Andrew Milner",,9783030278939,,340,ebook,Literary Criticism
The Architecture of the Imagination,Shaun Nichols,,9780199275724,,290,paperback,Philosophy
Escape from the Wasteland,Susan Jolliffe Napier,,9780674261815,,284,paperback,Literary Criticism
"Science Fiction, Science Fact",Isaac Asimov,,9780440403524,,36,paperback,Juvenile Nonfiction
The Philosophy of Science Fiction Film,Steven Sanders,4,9780813172811,,241,ebook,Performing Arts
Climatic - A Climate and Genetic Engineering Science Fiction Novel,Blade Cort,,,,274,ebook,Fiction
Time in Fiction,"Craig Bourne, Emily Caddick Bourne",,9780191662805,,280,ebook,Literary Criticism
The History of Science Fiction,A. Roberts,,9780230554658,,385,ebook,Fiction
Studies in the Comic Spirit in Modern Japanese Fiction,Joel Ralph Cohn,,9780674847118,,288,paperback,Education
Posthuman Biopolitics,Bruce Clarke,,9783030364861,,198,ebook,Literary Criticism
On the Origin of Stories,Brian Boyd,,9780674057111,,555,paperback,Literary Criticism
Recontextualizing Texts,Atsuko Sakaki,,9780674750944,,308,paperback,Education
When the Sleeper Wakes,H. G. Wells,,9781983655890,,572,paperback,science fiction
The Art of Detective Fiction,NA NA,,9781349627684,,256,ebook,Science
Surreal Entanglements,"Louise Economides, Laura Shackelford",,9781000388343,,197,ebook,Literary Criticism
Nation and Region in Modern American and European Fiction,Thomas O. Beebee,,9781557534989,,213,paperback,Literary Criticism
The Holodeck in the Garden,"Peter Freese, Charles B. Harris",,,,418,paperback,History
Brave New Words,Jeff Prucher,,9780199885527,,509,ebook,Reference
Biopolitical Futures in Twenty-First-Century Speculative Fiction,Sherryl Vint,,9781108839006,,283,paperback,History
Dreams Must Explain Themselves,Ursula K. Le Guin,,9781473205956,,524,ebook,Literary Criticism
Christo-Fiction,,,9780231538961,,295,ebook,Philosophy
Trope-ing the Light Fantastic,Edward M. Lerner,,9781612424019,,366,paperback,Fiction
Eco-facts and Eco-fiction,William H. Baarschers,,9781135101206,,281,ebook,Science
Death-Facing Ecology in Contemporary British and North American Environmental Crisis Fiction,Louise Squire,,9781351396509,,283,ebook,Literary Criticism
Trent's Last Case,Edmund Clerihew Bentley,,,,220,paperback,Fiction
The Invisible Man,H. G. Wells,3,9781598898873,,76,paperback,Juvenile Nonfiction
Our Shared Storm,Andrew Dana Hudson,,9780823299560,,257,ebook,Fiction
Social and Virtual Space,Laura Chernaik,,9780838640692,,209,ebook,History
Ecofeminist Science Fiction,Douglas A. Vakoch,,9781000376364,,163,ebook,Fiction
Creating Life from Life,Rosalyn W. Berne,,9789814463591,,302,ebook,Medical
"Mesmerists, Monsters, and Machines",Martin Willis,,9780873388573,,292,paperback,Art
The Time Machine Hypothesis,Damien Broderick,,9783030161781,,246,ebook,Science
The War of the Worlds,H. G. Wells,,9781983661334,,420,paperback,science fiction
Apocalyptic Visions in the Anthropocene and the Rise of Climate Fiction,Kübra Baysal,,9781527573635,,279,ebook,Science
Trilby,George Du Maurier,,,,332,paperback,Fiction
A Geography of Victorian Gothic Fiction,Robert Mighall,,9780198184720,,346,paperback,History
Ghost Species,James Bradley,,9781529358094,,299,ebook,Fiction
Pride and Prejudice,Jane Austen,,9780192815033,,388,paperback,Fiction
Sons and Lovers,David Herbert Lawrence,,,,652,paperback,Fiction
Pride and Prejudice,Jane Austen,,9781908533050,,0,paperback,Classic fiction
"To Sir Phillip, with Love",Julia Quinn,,9780739435724,,274,paperback,Fiction
Simple Gifts,"Judith McNaught, Jude Deveraux",,9780743442237,,404,paperback,Fiction
The Italian Girl,Lucinda Riley,,9781471280290,,,paperback,Man-woman relationships
Dare to Love,Carly Phillips,4.5,9780989311298,,256,ebook,Fiction
Love Only Once,Johanna Lindsey,5,9780739446461,,452,paperback,England
Above and Beyond,Sandra Brown,,9781551662916,,297,paperback,Fiction
The Missing Sister,Lucinda Riley,,9781952457234,,576,paperback,romance
The Viscount Who Loved Me,Julia Quinn,,9780063279469,,512,paperback,Fiction
Sense and Sensibility,Jane Austen,,9781908533074,,0,paperback,Books and reading
North and South,Elizabeth Cleghorn Gaskell,,,,456,paperback,"England, Northern"
Spirit Bound,Richelle Mead,4.5,9781921518867,,489,paperback,Boarding school students
Heartstopper: Volume 4: A Graphic Novel: Volume 4,Alice Oseman,,9781338617559,,0,paperback,Boys
Northanger Abbey,Jane Austen,,9781908533272,,256,paperback,Books and reading
The Storm Sister,Lucinda Riley,,9781447288572,,0,paperback,Adopted children
Mansfield Park,Jane Austen,,9781410429681,,661,paperback,Fiction
Fine Things,Danielle Steel,,9780440200567,,415,paperback,Fiction
Before the Season Ends,Linore Rose Burkard,3.5,9781594676734,,322,paperback,Fiction
Emma,Jane Austen,,9781908533067,,512,paperback,England
The Storm Sister,Lucinda Riley,,9781529003468,,720,paperback,Fiction
A Loving Scoundrel,Johanna Lindsey,,9780786265114,,528,paperback,Fiction
All Your Perfects,Colleen Hoover,,9781761105357,,320,paperback,romance
Twisted Perfection Signed Limited Edition,Abbi Glines,,9781476763545,,272,paperback,Fiction
Tara Road,Maeve Binchy,,9780385333955,,502,paperback,Detective and mystery stories
Persuasion,Jane Austen,,9781908533081,,0,paperback,Books and reading
