,Unnamed: 0,Good_Reads_Popularity_Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Genres,Series,Page_Number,Format,Rank_Score,Rating_Score,NumRatings_Score,Quality_Score
126,126,168.0,The Ultimate Hitchhiker’s Guide to the Galaxy,Douglas Adams,4.38,332116.0,9780345453747,B00A2LZDTA,"Science Fiction, Fiction, Humor, Fantasy, Classics, Comedy, Science Fiction Fantasy","Hitchhiker's Guide to the Galaxy, #1-5",815,Paperback,0.6731898238747553,0.845,0.03553276175690261,0.5996806464079145
99,99,133.0,Holes,Louis Sachar,4.01,1301313.0,9780439244190,0439244196,"Young Adult, Fiction, Middle Grade, Childrens, Classics, School, Realistic Fiction","Holes, #1",272,Paperback,0.7416829745596869,0.7525,0.1395490901816417,0.5965580161853322
128,128,171.0,The Compleat Works of Wllm Shkspr,Reduced Shakespeare Company,4.43,9670.0,9781557831576,B002K27PVS,"Plays, Classics, Humor, Drama, Fiction, Theatre, Comedy",,137,Kindle Edition,0.6673189823874756,0.8574999999999999,0.000927156255396293,0.5958115346607179
75,75,100.0,Interview with the Vampire,Anne Rice,4.02,624171.0,9780345476876,0345476875,"Horror, Fantasy, Fiction, Vampires, Paranormal, Classics, Gothic","The Vampire Chronicles, #1",346,Paperback,0.8062622309197651,0.7549999999999999,0.06687673908874245,0.5957847425021269
105,105,142.0,Fight Club,Chuck Palahniuk,4.18,620755.0,9780393355949,0393355942,"Fiction, Classics, Thriller, Novels, Mystery, Literature, Audiobook",,224,Paperback,0.7240704500978474,0.7949999999999999,0.0665101265446478,0.5951451441606237
127,127,170.0,Shadow Kiss,Richelle Mead,4.33,375441.0,9781595141972,1595141979,"Young Adult, Fantasy, Vampires, Paranormal, Romance, Urban Fantasy, Paranormal Romance","Vampire Academy, #3",443,Paperback,0.6692759295499022,0.8325,0.040182494916416955,0.5936146061165798
203,203,270.0,The Way of Kings,Brandon Sanderson,4.67,592324.0,9780765326355,0765326353,"Fantasy, Fiction, Epic Fantasy, High Fantasy, Audiobook, Science Fiction Fantasy, Magic","The Stormlight Archive, #1",1007,Hardcover,0.4735812133072408,0.9175,0.06345884983470776,0.5930100157854871
110,110,147.0,The Cat in the Hat,Dr. Seuss,4.19,567104.0,9780394800011,039480001X,"Childrens, Picture Books, Fiction, Poetry, Classics, Fantasy, Humor","Cat in the Hat, #1",61,Hardcover,0.7142857142857143,0.7975000000000001,0.06075218462332976,0.5925094747272611
130,130,173.0,The Maze Runner,James Dashner,4.05,1611433.0,9780385737944,0385737947,"Young Adult, Dystopia, Science Fiction, Fiction, Fantasy, Audiobook, Post Apocalyptic","The Maze Runner, #1",384,Hardcover,0.6634050880626223,0.7625,0.17283184257468467,0.5903092326593268
136,136,181.0,The Lorax,Dr. Seuss,4.35,358821.0,9780679889106,0679889108,"Childrens, Picture Books, Fiction, Classics, Poetry, Fantasy, Environment",,72,Hardcover,0.6477495107632094,0.8374999999999999,0.03839880039567539,0.5902870777897212
96,96,129.0,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,1545601.0,9781400032716,1400032717,"Fiction, Mystery, Young Adult, Classics, Autistic Spectrum Disorder, Novels, Contemporary",,226,Paperback,0.7495107632093934,0.7225,0.16576660926003614,0.5900693431173575
122,122,163.0,The Secret History,Donna Tartt,4.16,900547.0,9781400031702,1400031702,"Fiction, Mystery, Classics, Contemporary, Thriller, Literary Fiction, Mystery Thriller",,559,Paperback,0.6829745596868885,0.79,0.09653801206494408,0.5898781429379581
86,86,116.0,The Metamorphosis,Franz Kafka,3.89,1279010.0,9780553213690,0553213695,"Classics, Fiction, Fantasy, Philosophy, Short Stories, Literature, School",,201,Mass Market Paperback,0.7749510763209393,0.7225,0.13715548374986677,0.5892766400177015
97,97,131.0,The Unbearable Lightness of Being,Milan Kundera,4.11,511212.0,9780571224388,0571224385,"Fiction, Philosophy, Literature, Novels, Romance, Czech Literature, Classics",,314,Paperback,0.7455968688845401,0.7775000000000001,0.0547537337115796,0.58883765064903
98,98,132.0,The Name of the Rose,Umberto Eco,4.14,381445.0,9780156001311,0156001314,"Fiction, Historical Fiction, Mystery, Historical, Literature, Italy, Crime",,552,Paperback,0.7436399217221135,0.7849999999999999,0.04082685724508918,0.5886166947418006
70,70,95.0,The Old Man and the Sea,Ernest Hemingway,3.81,1236234.0,9780684830490,0684830493,"Fiction, Literature, Novels, School, American, Adventure, Literary Fiction",,96,Hardcover,0.8160469667318982,0.7025,0.1325646704635105,0.5884029092988522
215,215,285.0,The Complete Calvin and Hobbes,Bill Watterson,4.81,41387.0,9780740748479,0740748475,"Humor, Graphic Novels, Fiction, Comics, Classics, Comedy, Graphic Novels Comics",,1456,Hardcover,0.4442270058708415,0.9524999999999999,0.004331093626898113,0.588389524874435
189,189,253.0,The Lord of the Rings,J.R.R. Tolkien,4.54,706363.0,9780618640157,0618640150,"Fantasy, Classics, Fiction, Adventure, Science Fiction Fantasy, High Fantasy, Epic Fantasy",,1216,Paperback,0.5068493150684932,0.885,0.0756977631590668,0.5881367695568901
103,103,139.0,In Cold Blood,Truman Capote,4.09,698118.0,9780679745587,0679745580,"Nonfiction, True Crime, Crime, Mystery, History, Classics, Thriller",,343,Paperback,0.7299412915851272,0.7725,0.07481289183996247,0.5874385458562724
93,93,124.0,Middlesex,Jeffrey Eugenides,4.04,652075.0,9780312422158,0312422156,"Fiction, Historical Fiction, Contemporary, LGBT, Classics, Literary Fiction, Queer",,529,Paperback,0.7592954990215264,0.76,0.06987145701333768,0.5872917390087161
137,137,182.0,Goodnight Moon,Margaret Wise Brown,4.32,385904.0,9780060775858,0060775858,"Childrens, Picture Books, Fiction, Classics, Poetry, Kids, Animals",,32,Hardcover,0.6457925636007829,0.8300000000000001,0.04130540681596684,0.5867744926041876
142,142,191.0,The Selection,Kiera Cass,4.07,1678338.0,9780062059932,B00BG7DY04,"Romance, Young Adult, Dystopia, Fantasy, Fiction, Audiobook, Science Fiction","The Selection, #1",336,Hardcover,0.6281800391389433,0.7675000000000001,0.18001223258131613,0.5857980679300648
58,58,77.0,Great Expectations,Charles Dickens,3.8,844988.0,9780192833594,0192833596,"Classics, Fiction, Literature, Historical Fiction, School, Novels, Classic Literature",,544,Paperback,0.8512720156555773,0.7,0.09057529943691275,0.5854618287731226
102,102,136.0,Where the Red Fern Grows,Wilson Rawls,4.12,426836.0,9780375806810,0375806814,"Classics, Fiction, Young Adult, Childrens, Historical Fiction, Middle Grade, Animals",,272,Mass Market Paperback,0.735812133072407,0.78,0.04569831801470293,0.5853776127717775
121,121,161.0,Insurgent,Veronica Roth,3.97,1573354.0,9780007442911,0007442912,"Young Adult, Dystopia, Fantasy, Fiction, Science Fiction, Romance, Adventure","Divergent, #2",525,Hardcover,0.6868884540117417,0.7425,0.16874512153645857,0.5851583938870502
150,150,202.0,"Oh, the Places You’ll Go!",Dr. Seuss,4.37,427322.0,9780679805274,0679805273,"Childrens, Picture Books, Fiction, Classics, Poetry, Fantasy, Young Adult",,44,Hardcover,0.6066536203522506,0.8425,0.04575047659094122,0.584351024235798
184,184,248.0,The Girl on the Train,Paula Hawkins,3.96,3143307.0,9781594633669,1594633665,"Fiction, Mystery, Thriller, Mystery Thriller, Crime, Suspense, Audiobook",,336,Hardcover,0.5166340508806262,0.74,0.3372358895221255,0.5834674851006879
168,168,226.0,Clockwork Prince,Cassandra Clare,4.42,571963.0,9781416975885,1416975888,"Fantasy, Young Adult, Romance, Paranormal, Steampunk, Historical Fiction, Urban Fantasy","The Infernal Devices, #2",498,Hardcover,0.5596868884540118,0.855,0.061273663063539346,0.5827401378793878
160,160,216.0,The Lost Hero,Rick Riordan,4.3,903355.0,9781423113393,142311339X,"Fantasy, Mythology, Young Adult, Fiction, Middle Grade, Adventure, Greek Mythology","The Heroes of Olympus, #1",576,Hardcover,0.5792563600782779,0.825,0.09683937272765421,0.581523933201483
251,251,332.0,A Court of Thorns and Roses,Sarah J. Maas,4.17,3604955.0,9781619634442,1619634449,"Fantasy, Young Adult, Fiction, Romantasy, Audiobook, New Adult, Fae","A Court of Thorns and Roses, #1",419,Hardcover,0.3522504892367906,0.7925,0.3867809561954891,0.5810078613580699
95,95,126.0,The Adventures of Tom Sawyer,Mark Twain,3.92,981551.0,9780143039563,0143039563,"Fiction, Classics, Adventure, Historical Fiction, Young Adult, Literature, Childrens",,244,Paperback,0.7553816046966733,0.73,0.10523153739335261,0.5801532855225064
176,176,237.0,Man’s Search for Meaning,Viktor E. Frankl,4.38,802171.0,9780807014295,080701429X,"Nonfiction, Psychology, Philosophy, Self Help, Memoir, Biography, Audiobook",,165,Paperback,0.538160469667319,0.845,0.08598008594144996,0.5785351389021923
111,111,148.0,All Quiet on the Western Front,Erich Maria Remarque,4.09,490602.0,9780449213940,B00EJ3APSG,"Fiction, Historical Fiction, War, Classics, Historical, Literature, School",,296,Mass Market Paperback,0.7123287671232876,0.7725,0.05254182371925206,0.577467647710635
140,140,187.0,Murder on the Orient Express,Agatha Christie,4.2,682387.0,9780007119318,B006VWJ2XC,"Mystery, Classics, Fiction, Crime, Mystery Thriller, Audiobook, Thriller","Hercule Poirot, #10",274,Paperback,0.6360078277886497,0.8,0.0731246067313111,0.5772831086299902
194,194,260.0,A Clash of Kings,George R.R. Martin,4.42,985378.0,9780553381696,0553381695,"Fantasy, Fiction, Epic Fantasy, High Fantasy, Science Fiction Fantasy, Audiobook, Dragons","A Song of Ice and Fire, #2",1009,Paperback,0.4931506849315068,0.855,0.10564225935068583,0.5771982360705482
145,145,195.0,Blood Promise,Richelle Mead,4.3,321864.0,9781595141989,B0057DB4HI,"Young Adult, Fantasy, Vampires, Paranormal, Romance, Urban Fantasy, Paranormal Romance","Vampire Academy, #4",503,Hardcover,0.6203522504892368,0.825,0.03443249483592533,0.5761961863312905
181,181,243.0,The Green Mile,Stephen King,4.48,343180.0,9780451933027,0451933028,"Horror, Fiction, Fantasy, Thriller, Mystery, Classics, Crime",,592,Paperback,0.5264187866927593,0.8700000000000001,0.03672017428262372,0.5757847402438458
132,132,175.0,The Importance of Being Earnest,Oscar Wilde,4.17,391057.0,9781580495806,158049580X,"Classics, Plays, Fiction, Drama, Humor, School, Literature",,89,Paperback,0.6594911937377691,0.7925,0.04185843797513539,0.571587407928226
169,169,227.0,Shōgun,James Clavell,4.41,200652.0,9781982603847,1982603844,"Historical Fiction, Fiction, Japan, Historical, Adventure, Audiobook, Literature","Asian Saga, #1",1152,Paperback,0.5577299412915852,0.8525,0.02142375956227149,0.5710384252134642
191,191,255.0,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,4.47,342460.0,9780553256697,0553256696,"Nonfiction, Biography, History, Christian, Memoir, Classics, Holocaust",,242,Mass Market Paperback,0.50293542074364,0.8674999999999999,0.03664290231782625,0.5686445807653665
109,109,146.0,The Divine Comedy: Inferno - Purgatorio - Paradiso,Dante Alighieri,4.08,163495.0,9780679433132,0679433139,"Poetry, Fiction, Literature, Philosophy, Fantasy, Italian Literature, Italy",,798,Hardcover,0.716242661448141,0.77,0.017435989567855463,0.5684196627539991
144,144,194.0,The Prophet,Kahlil Gibran,4.23,315757.0,9780001000391,000100039X,"Poetry, Classics, Philosophy, Fiction, Spirituality, Religion, Literature",,127,Paperback,0.6223091976516635,0.8075000000000001,0.033777078323400135,0.5677715689937659
156,156,211.0,The Boy in the Striped Pajamas,John Boyne,4.16,904071.0,9780385751070,0385751079,"Historical Fiction, Fiction, Young Adult, Historical, Holocaust, War, World War II",,224,Hardcover,0.589041095890411,0.79,0.09691621540375836,0.5664893278235423
116,116,154.0,Peter Pan,J.M. Barrie,4.04,361614.0,9780805072457,0805072454,"Fantasy, Fiction, Childrens, Classics, Adventure, Audiobook, Young Adult",,155,Hardcover,0.7005870841487281,0.76,0.03869855122578557,0.5648214088436284
329,329,425.0,Fourth Wing,Rebecca Yarros,4.58,2778289.0,9781649374042,1649374046,"Romantasy, Dragons, Fiction, Audiobook, Enemies To Lovers, Fantasy Romance, Magic","The Empyrean, #1",498,Hardcover,0.1702544031311155,0.895,0.2980613644576222,0.5645789418971845
158,158,213.0,Jurassic Park,Michael Crichton,4.12,1009630.0,9780307763051,B007UH4D3G,"Science Fiction, Fiction, Thriller, Horror, Fantasy, Adventure, Classics","Jurassic Park, #1",450,Kindle Edition,0.5851272015655578,0.78,0.10824503669828056,0.5633430595659595
178,178,240.0,Last Sacrifice,Richelle Mead,4.37,295187.0,9781595143068,1595143068,"Young Adult, Fantasy, Vampires, Paranormal, Romance, Urban Fantasy, Paranormal Romance","Vampire Academy, #6",594,Hardcover,0.5322896281800391,0.8425,0.03156946121800579,0.5622147723495112
112,112,150.0,"Hush, Hush",Becca Fitzpatrick,3.92,729087.0,9781416989417,1416989412,"Fantasy, Young Adult, Romance, Paranormal, Angels, Paranormal Romance, Fiction","Hush, Hush, #1",391,Hardcover,0.7084148727984345,0.73,0.07813655222581357,0.5616378562560621
170,170,228.0,Schindler’s List,Thomas Keneally,4.34,163219.0,9780340606513,0340606517,"History, Nonfiction, Holocaust, War, Historical, World War II, Biography",,429,Mass Market Paperback,0.5557729941291585,0.835,0.017406368648016434,0.5607948406942938
186,186,250.0,A Light in the Attic,Shel Silverstein,4.36,465661.0,9780060513061,0060513063,"Poetry, Childrens, Classics, Fiction, Humor, Young Adult, Picture Books",,176,Hardcover,0.5127201565557731,0.8400000000000001,0.049865101394233086,0.5606463144875016
143,143,193.0,The Night Circus,Erin Morgenstern,4.01,1046317.0,9780385534635,0385534639,"Fantasy, Fiction, Romance, Historical Fiction, Magic, Young Adult, Audiobook",,506,Hardcover,0.62426614481409,0.7525,0.11218236527123157,0.5603621275213304
149,149,201.0,The Phantom Tollbooth,Norton Juster,4.2,297926.0,9780394820378,0394820371,"Fantasy, Fiction, Classics, Childrens, Young Adult, Middle Grade, Adventure",,248,Paperback,0.6086105675146771,0.8,0.031863416650756156,0.5601184960413583
171,171,229.0,The Velveteen Rabbit,Margery Williams Bianco,4.31,266391.0,9780380002559,0380002558,"Classics, Childrens, Fiction, Picture Books, Fantasy, Animals, Young Adult",,40,Paperback,0.5538160469667319,0.8274999999999999,0.02847901191480036,0.5593237647203829
174,174,233.0,Howl’s Moving Castle,Diana Wynne Jones,4.29,410460.0,9780064410342,006441034X,"Fantasy, Young Adult, Fiction, Middle Grade, Magic, Classics, Audiobook","Howl’s Moving Castle, #1",329,Mass Market Paperback,0.5459882583170255,0.8225,0.04394081010425383,0.5587322671053199
166,166,224.0,His Dark Materials,Philip Pullman,4.29,165493.0,9780440238607,0440238609,"Fantasy, Fiction, Young Adult, Childrens, Science Fiction Fantasy, Science Fiction, Classics",His Dark Materials #1-3,1088,Mass Market Paperback,0.5636007827788649,0.8225,0.017650419270168437,0.5565628005122584
163,163,220.0,A Little Princess,Frances Hodgson Burnett,4.23,317539.0,9780142437018,0142437018,"Fiction, Childrens, Classics, Young Adult, Historical Fiction, Middle Grade, Historical",,242,Paperback,0.5714285714285714,0.8075000000000001,0.033968326436273864,0.5550992244662113
157,157,212.0,Fifty Shades of Grey,E.L. James,3.67,2771866.0,9781612130293,1612130291,"Fiction, BDSM, Contemporary, Contemporary Romance, Chick Lit, Erotica, Erotic Romance","Fifty Shades, #1",356,Paperback,0.5870841487279843,0.6675,0.29737203413832475,0.5548640457165772
118,118,158.0,Love in the Time of Cholera,Gabriel García Márquez,3.94,527673.0,9781400034680,140003468X,"Fiction, Historical Fiction, Magical Realism, Literature, Novels, Spanish Literature, Literary Fiction",,348,Paperback,0.6927592954990216,0.735,0.05652036400676173,0.5548199148764458
151,151,203.0,The Neverending Story,Michael Ende,4.18,212318.0,9780525457589,0525457585,"Fantasy, Fiction, Young Adult, Childrens, Adventure, Classics, German Literature",,396,Hardcover,0.6046966731898239,0.7949999999999999,0.02267578003633714,0.5543431133065403
188,188,252.0,Misery,Stephen King,4.23,796049.0,9780450417399,0450417395,"Horror, Fiction, Thriller, Mystery, Suspense, Mystery Thriller, Audiobook",,370,Paperback,0.5088062622309197,0.8075000000000001,0.08532305959632482,0.5522823304568112
241,241,321.0,Mistborn: The Final Empire,Brandon Sanderson,4.49,840627.0,9780765311788,076531178X,"Fantasy, Fiction, High Fantasy, Audiobook, Epic Fantasy, Magic, Science Fiction Fantasy","Mistborn, #1",541,Hardcover,0.3737769080234834,0.8725,0.09010726743902142,0.5522210438656262
229,229,306.0,Wonder,R.J. Palacio,4.36,1150542.0,9780375869020,0375869026,"Fiction, Young Adult, Middle Grade, Contemporary, Realistic Fiction, Childrens, School","Wonder, #1",315,Hardcover,0.40313111545988267,0.8400000000000001,0.1233680187865318,0.5516247835616036
321,321,414.0,It Ends with Us,Colleen Hoover,4.12,4233241.0,9781668021040,1668021048,"Fiction, Contemporary, Audiobook, New Adult, Contemporary Romance, Abuse, Chick Lit","It Ends with Us, #1",386,Kindle Edition,0.19178082191780832,0.78,0.45420997518818673,0.5514976992764988
187,187,251.0,Spirit Bound,Richelle Mead,4.32,302768.0,9781595142504,1595142509,"Young Adult, Fantasy, Vampires, Paranormal, Romance, Urban Fantasy, Paranormal Romance","Vampire Academy, #5",489,Hardcover,0.5107632093933464,0.8300000000000001,0.032383070614019134,0.5507865700018415
362,362,467.0,A Court of Mist and Fury,Sarah J. Maas,4.64,2742893.0,9781635575583,1635575583,"Fantasy, Romance, Romantasy, Young Adult, Fiction, New Adult, Fae","A Court of Thorns and Roses, #2",626,Paperback,0.08806262230919759,0.9099999999999999,0.29426258881044,0.5505813027799094
221,221,294.0,Big Little Lies,Liane Moriarty,4.31,1067780.0,9780399587191,0399587195,"Fiction, Mystery, Contemporary, Thriller, Chick Lit, Audiobook, Mystery Thriller",,460,Paperback,0.42661448140900204,0.8274999999999999,0.11448582107740944,0.5490250756216027
74,74,99.0,Atlas Shrugged,Ayn Rand,3.69,399733.0,9780452011878,0452011876,"Fiction, Classics, Philosophy, Politics, Literature, Science Fiction, Novels",,1168,Paperback,0.8082191780821918,0.6725,0.04278956515094488,0.5490021858082841
131,131,174.0,Their Eyes Were Watching God,Zora Neale Hurston,3.99,368978.0,9780061120060,0061120065,"Classics, Fiction, Historical Fiction, School, Literature, African American, Feminism",,238,Paperback,0.6614481409001958,0.7475,0.03948887171018635,0.5489842531525955
133,133,176.0,Atonement,Ian McEwan,3.95,542752.0,9780385721790,B00A2M6OLU,"Fiction, Historical Fiction, Classics, Romance, Historical, War, Literary Fiction",,351,Paperback,0.6575342465753424,0.7375,0.05813867505840205,0.5476682304084362
243,243,324.0,The Mark of Athena,Rick Riordan,4.47,645818.0,9781423140603,1423140605,"Fantasy, Mythology, Young Adult, Fiction, Middle Grade, Adventure, Greek Mythology","The Heroes of Olympus, #3",586,Hardcover,0.3679060665362035,0.8674999999999999,0.06919994217481301,0.5430265021777541
139,139,184.0,A Midsummer Night’s Dream,William Shakespeare,3.94,560793.0,9780743477543,0743477545,"Plays, Fiction, Fantasy, School, Romance, Poetry, Literature",,298,Mass Market Paperback,0.6418786692759295,0.735,0.060074874387445285,0.5429883859158438
349,349,451.0,Where the Crawdads Sing,Delia Owens,4.38,3376781.0,9780735219113,0735219117,"Fiction, Historical Fiction, Mystery, Audiobook, Romance, Contemporary, Historical",,384,ebook,0.11937377690802342,0.845,0.3622928266181313,0.5429166508815386
148,148,199.0,Alice in Wonderland,Jane Carruth,4.03,394489.0,9780517223628,0517223627,"Classics, Fantasy, Fiction, Childrens, Young Adult, Adventure, Literature",,96,Hardcover,0.6125244618395304,0.7575000000000001,0.04222676767400332,0.5424378073783834
268,268,352.0,All the Light We Cannot See,Anthony Doerr,4.31,1851322.0,9781476746586,1476746583,"Historical Fiction, Fiction, Historical, War, World War II, Audiobook, France",,544,Hardcover,0.3131115459882583,0.8274999999999999,0.19857725141260127,0.5416721993502148
220,220,293.0,Roots: The Saga of an American Family,Alex Haley,4.44,162157.0,9780440174646,0440174643,"Historical Fiction, Fiction, Classics, Historical, African American, Africa, Race",,729,Mass Market Paperback,0.4285714285714286,0.8600000000000001,0.017292392499940166,0.5414659552678421
135,135,180.0,"Eat, Pray, Love",Elizabeth Gilbert,3.64,1802879.0,9780143038412,0143038419,"Nonfiction, Memoir, Travel, Biography, Romance, Chick Lit, Spirituality",,368,Paperback,0.649706457925636,0.66,0.1933782433699849,0.5407711753239053
263,263,347.0,The Wise Man's Fear,Patrick Rothfuss,4.55,592944.0,9780756404734,0756404738,"Fantasy, Fiction, Epic Fantasy, High Fantasy, Audiobook, Magic, Science Fiction Fantasy","The Kingkiller Chronicle, #2",994,Hardcover,0.3228962818003913,0.8875,0.06352538958217224,0.5403554178456409
198,198,265.0,The House of the Spirits,Isabel Allende,4.29,294377.0,9780553383805,0553383809,"Fiction, Magical Realism, Historical Fiction, Fantasy, Spanish Literature, Historical, Novels",,448,Paperback,0.4833659491193738,0.8225,0.03148253025760864,0.5399621198442456
265,265,349.0,The Martian,Andy Weir,4.42,1206926.0,9780804139021,0804139024,"Science Fiction, Fiction, Audiobook, Adventure, Space, Thriller, Science Fiction Fantasy",,384,Hardcover,0.3189823874755382,0.855,0.12941927220756022,0.5396004149207745
164,164,221.0,The World According to Garp,John Irving,4.11,234149.0,9780345915597,0345915593,"Fiction, Classics, Literature, Contemporary, Novels, Literary Fiction, Humor",,610,Hardcover,0.5694716242661448,0.7775000000000001,0.025018730402300387,0.5373725886671114
205,205,272.0,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.19,783919.0,9781984801814,1984801813,"Historical Fiction, Fiction, Romance, Historical, World War II, Audiobook, Book Club",,291,Paperback,0.46966731898238745,0.7975000000000001,0.08402124163383413,0.5371721401540555
147,147,198.0,The Good Earth,Pearl S. Buck,4.01,255541.0,9781416500186,1416500189,"Fiction, Historical Fiction, China, Classics, Literature, Historical, Asia","House of Earth, #1",418,Mass Market Paperback,0.614481409001957,0.7525,0.02731456633417184,0.5366989938340323
242,242,323.0,East of Eden,John Steinbeck,4.42,582278.0,9780142000656,0142000655,"Fiction, Classics, Historical Fiction, Literature, Novels, Literary Fiction, American",,601,Paperback,0.36986301369863006,0.855,0.06238069128143641,0.5355609262450166
79,79,106.0,"Moby-Dick or, The Whale",Herman Melville,3.56,593435.0,9780142437247,0142437247,"Fiction, Literature, Adventure, Historical Fiction, Novels, American, 19th Century",,720,Paperback,0.7945205479452055,0.64,0.06357808476927718,0.5345246581786206
264,264,348.0,Me Before You,Jojo Moyes,4.26,1735810.0,9780670026609,0670026603,"Fiction, Contemporary, Chick Lit, Audiobook, Adult Fiction, Contemporary Romance, Drama","Me Before You, #1",369,Hardcover,0.32093933463796476,0.815,0.18618025252692738,0.534279896791223
246,246,327.0,The Son of Neptune,Rick Riordan,4.41,637693.0,9781423140597,1423140591,"Fantasy, Mythology, Young Adult, Fiction, Middle Grade, Adventure, Greek Mythology","The Heroes of Olympus, #2",521,Hardcover,0.3620352250489236,0.8525,0.06832794951650824,0.533840793641358
237,237,316.0,Ready Player One,Ernest Cline,4.23,1243586.0,9780307887436,030788743X,"Science Fiction, Fiction, Young Adult, Fantasy, Dystopia, Audiobook, Adventure","Ready Player One, #1",480,Hardcover,0.3835616438356164,0.8075000000000001,0.1333537030818313,0.532978836729362
159,159,214.0,Beloved,Toni Morrison,3.97,465173.0,9781400033416,1400033411,"Fiction, Classics, Historical Fiction, Magical Realism, Historical, Literature, School","Beloved Trilogy, #1",325,Paperback,0.5831702544031312,0.7425,0.04981272817364814,0.5294957456441949
226,226,303.0,The Girl Who Kicked the Hornet’s Nest,Stieg Larsson,4.24,758259.0,9780307269997,B007NB94GA,"Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Audiobook","Millennium, #3",566,Hardcover,0.40900195694716235,0.81,0.08126735466619102,0.5275673279033384
190,190,254.0,City of Fallen Angels,Cassandra Clare,4.07,624710.0,9781442403543,1442403543,"Fantasy, Young Adult, Romance, Paranormal, Urban Fantasy, Vampires, Fiction","The Mortal Instruments, #4",425,Hardcover,0.5048923679060666,0.7675000000000001,0.06693458574016722,0.5267067384115585
312,312,405.0,Harry Potter Series Box Set,J.K. Rowling,4.73,297101.0,9780545044257,0545044251,"Fantasy, Young Adult, Fiction, Magic, Childrens, Adventure, Classics","Harry Potter, #1-7",4100,Hardcover,0.2093933463796478,0.9325000000000001,0.03177487585775906,0.5265420555593519
279,279,365.0,The Complete Maus,Art Spiegelman,4.58,239087.0,9780141014081,0141014083,"Graphic Novels, Comics, Nonfiction, History, Biography, Memoir, Historical",,296,Paperback,0.28767123287671237,0.895,0.025548687294203024,0.5258049800427288
182,182,244.0,The Secret Magdalene,Ki Longfellow,4.15,4684.0,9780307346667,0307346668,"Historical Fiction, Fiction, Religion, Historical, Spirituality, Literature, Novels",,448,Hardcover,0.5244618395303327,0.7875000000000001,0.00039204789917382315,0.5249634718573767
202,202,269.0,Marley and Me: Life and Love With the World’s Worst Dog,John Grogan,4.14,474310.0,9780739461198,B0058M5XF2,"Nonfiction, Animals, Memoir, Biography, Dogs, Humor, Biography Memoir",,291,Hardcover,0.47553816046966735,0.7849999999999999,0.05079333087136268,0.5240828728352576
172,172,230.0,The Iliad / The Odyssey,Homer,4.07,80831.0,9780147712554,0147712556,"Fiction, Poetry, Mythology, Classics, Fantasy, Literature, Historical Fiction",,1556,Paperback,0.5518590998043054,0.7675000000000001,0.008564309431719434,0.5238558523090063
165,165,222.0,Thirteen Reasons Why,Jay Asher,3.84,1004672.0,9781595147882,1595147888,"Young Adult, Fiction, Contemporary, Realistic Fiction, Mystery, Mental Health, Teen",,352,Hardcover,0.5675146771037183,0.71,0.10771293336291132,0.5238069026166574
253,253,334.0,The Complete Works,William Shakespeare,4.48,57371.0,9780517053614,0517053616,"Classics, Poetry, Fiction, Plays, Literature, Drama, Classic Literature",,1229,Leather Bound,0.34833659491193747,0.8700000000000001,0.006046531245401915,0.5235957815393348
173,173,231.0,The Silmarillion,J.R.R. Tolkien,4.02,317688.0,9780618391110,0618391118,"Fantasy, Fiction, High Fantasy, Science Fiction Fantasy, Epic Fantasy, Classics, Mythology",,386,Hardcover,0.5499021526418787,0.7549999999999999,0.03398431744010001,0.5234716175204946
100,100,134.0,On the Road,Jack Kerouac,3.61,431012.0,9780140042597,0140042598,"Fiction, Travel, Literature, Classics, Novels, American, Adventure",,307,Paperback,0.7397260273972603,0.6525,0.046146495410528246,0.5227181307019472
283,283,371.0,A Good Girl's Guide to Murder,Holly Jackson,4.3,1516075.0,9781405293181,1405293187,"Young Adult, Thriller, Mystery Thriller, Fiction, Crime, Audiobook, Contemporary","A Good Girl's Guide to Murder, #1",433,Paperback,0.27592954990215257,0.825,0.16259781477029994,0.5221318411681131
250,250,331.0,The Housemaid's Secret,Freida McFadden,4.21,1126096.0,9781837901319,B0BGXYL3BZ,"Thriller, Mystery, Fiction, Mystery Thriller, Suspense, Audiobook, Psychological Thriller","The Housemaid, #2",318,Kindle Edition,0.35420743639921715,0.8025,0.12074442093731108,0.5199879643341321
201,201,268.0,The Wind-Up Bird Chronicle,Haruki Murakami,4.14,300958.0,9780965341981,0965341984,"Fiction, Magical Realism, Fantasy, Japanese Literature, Novels, Literature, Literary Fiction",,607,Paperback,0.4774951076320939,0.7849999999999999,0.03218881748029216,0.5199209812780965
153,153,207.0,Treasure Island,Robert Louis Stevenson,3.85,518596.0,9780753453803,0753453800,"Fiction, Adventure, Historical Fiction, Young Adult, Childrens, Pirates, Fantasy",,352,Hardcover,0.5968688845401174,0.7125,0.05554620063944697,0.5193537712948911
175,175,234.0,Extremely Loud & Incredibly Close,Jonathan Safran Foer,3.97,429107.0,9780618711659,0618711651,"Fiction, Historical Fiction, Contemporary, Novels, Literary Fiction, Adult Fiction, Literature",,326,Paperback,0.5440313111545989,0.7425,0.04594204667033494,0.5187433394562334
