Title,Description,Thumbnail
Angela’s Ashes,No description available.,
The Master and Margarita,"Ein Schleier des Vergessens umgibt die jenseitige Welt, deshalb wissen wir nicht, was nach dem Tod passiert. Penny McLean jedoch, die ohne diesen »Schleier« geboren wurde, kann sich genau an die immateriellen Dimensionen erinnern, aus denen wir kommen und in die wir zurückgehen werden. Fesselnd und detailliert beschreibt die Bestsellerautorin, was ab dem Moment des Sterbens geschieht, wie die Seele anschließend zu den Planetensphären und wieder zurück zur Erde reist. Und sie zeigt, wie sich jeder von uns auf seinen »letzten Umzug«, das Dasein im Jenseits und auf die nächste Inkarnation vorbereiten kann. Ein bahnbrechendes Buch, das die Gewissheit vermittelt: Der Tod ist nicht das Ende, sondern die Heimkehr in eine Heimat, die jedem lieb und vertraut ist! Plus 4c-Karte ""Die Reise der Seele durch die Planetensphären"" für den kostenlosen Download!",http://books.google.com/books/content?id=YRs-DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A Storm of Swords,"THE BOOK BEHIND THE THIRD SEASON OF GAME OF THRONES, AN ORIGINAL SERIES NOW ON HBO. Here is the third volume in George R. R. Martin’s magnificent cycle of novels that includes A Game of Thrones and A Clash of Kings. As a whole, this series comprises a genuine masterpiece of modern fantasy, bringing together the best the genre has to offer. Magic, mystery, intrigue, romance, and adventure fill these pages and transport us to a world unlike any we have ever experienced. Already hailed as a classic, George R. R. Martin’s stunning series is destined to stand as one of the great achievements of imaginative fiction. A STORM OF SWORDS Of the five contenders for power, one is dead, another in disfavor, and still the wars rage as violently as ever, as alliances are made and broken. Joffrey, of House Lannister, sits on the Iron Throne, the uneasy ruler of the land of the Seven Kingdoms. His most bitter rival, Lord Stannis, stands defeated and disgraced, the victim of the jealous sorceress who holds him in her evil thrall. But young Robb, of House Stark, still rules the North from the fortress of Riverrun. Robb plots against his despised Lannister enemies, even as they hold his sister hostage at King’s Landing, the seat of the Iron Throne. Meanwhile, making her way across a blood-drenched continent is the exiled queen, Daenerys, mistress of the only three dragons still left in the world. . . . But as opposing forces maneuver for the final titanic showdown, an army of barbaric wildlings arrives from the outermost line of civilization. In their vanguard is a horde of mythical Others--a supernatural army of the living dead whose animated corpses are unstoppable. As the future of the land hangs in the balance, no one will rest until the Seven Kingdoms have exploded in a veritable storm of swords. . . .",http://books.google.com/books/content?id=rIj5x-C7D2cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Watership Down,No description available.,http://books.google.com/books/content?id=6OQDKAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Vampire Academy,"Rose Hathaways Leben wird niemals wieder wie früher sein. Der Angriff auf die Akademie St. Vladimir hat die gesamte Welt der Moroi erschüttert und viele Todesopfer gefordert. Doch noch schlimmer ist das Schicksal derjenigen, die von den Strigoi verschleppt wurden. Unter den Vermissten befindet sich auch Rose' Geliebter Dimitri. Rose muss sich entscheiden: Will sie ihre beste Freundin Lissa beschützen, wie sie es einst geschworen hat, oder die Akademie verlassen und den Mann suchen, den sie liebt? Und wird sie ihn retten können, wenn sie ihn gefunden hat?",http://books.google.com/books/content?id=9R-FBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Mockingjay,"If you need a free PDF practice set of this book for your studies, feel free to reach out to me at cbsenet4u@gmail.com, and I'll send you a copy! THE MOCKINGJAY MCQ (MULTIPLE CHOICE QUESTIONS) SERVES AS A VALUABLE RESOURCE FOR INDIVIDUALS AIMING TO DEEPEN THEIR UNDERSTANDING OF VARIOUS COMPETITIVE EXAMS, CLASS TESTS, QUIZ COMPETITIONS, AND SIMILAR ASSESSMENTS. WITH ITS EXTENSIVE COLLECTION OF MCQS, THIS BOOK EMPOWERS YOU TO ASSESS YOUR GRASP OF THE SUBJECT MATTER AND YOUR PROFICIENCY LEVEL. BY ENGAGING WITH THESE MULTIPLE-CHOICE QUESTIONS, YOU CAN IMPROVE YOUR KNOWLEDGE OF THE SUBJECT, IDENTIFY AREAS FOR IMPROVEMENT, AND LAY A SOLID FOUNDATION. DIVE INTO THE MOCKINGJAY MCQ TO EXPAND YOUR MOCKINGJAY KNOWLEDGE AND EXCEL IN QUIZ COMPETITIONS, ACADEMIC STUDIES, OR PROFESSIONAL ENDEAVORS. THE ANSWERS TO THE QUESTIONS ARE PROVIDED AT THE END OF EACH PAGE, MAKING IT EASY FOR PARTICIPANTS TO VERIFY THEIR ANSWERS AND PREPARE EFFECTIVELY.",http://books.google.com/books/content?id=E3kNEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Girl Who Played With Fire,"Die Millennium-Trilogie in moderner Neuausstattung Der Journalist Mikael Blomkvist recherchiert in einem besonders brisanten Fall von Mädchenhandel. Junge russische Frauen werden gewaltsam zur Prostitution gezwungen. Die Hintermänner bekleiden hohe Regierungsämter. Als Blomkvists Informant tot aufgefunden wird, fällt der Verdacht auf die Ermittlerin Lisbeth Salander. Nur Blomkvist glaubt an ihre Unschuld. Eine mörderische Hetzjagd beginnt.",http://books.google.com/books/content?id=L8vhw_62tqwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Catch-22,The story of a group of fliers in the Mediterranean during World War II.,http://books.google.com/books/content?id=Xfze51E7TEoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Eragon,"Der Auftakt von Christopher Paolinis Weltbestseller ""Eragon"" - tauch ein in Alagaësia, die fantastische und faszinierende Welt der Drachenreiter! Als Eragon auf der Jagd einen blauen Stein findet, ahnt er nicht, dass dieser Fund sein Leben verändern wird. Denn aus dem Stein schlüpft ein Drachenjunges und beschert Eragon ein Vermächtnis, das älter ist als die Welt. Über Nacht wird er in eine schicksalhafte Welt voller Magie und dunkler Mächte geworfen, die regiert wird von einem Herrscher, dessen Grausamkeit keine Grenzen kennt. Mit nichts als einem Schwert bewaffnet, stellt sich Eragon dem Kampf gegen das Böse, an seiner Seite seine treue Gefährtin, der blaue Drache Saphira. Mit seiner Drachenreitersaga Eragon begeistert Christopher Paolini ein Millionenpublikum. Alte Fans und neue Leser*innen lieben Alagaësia, die fantastische und faszinierende Welt der Drachenreiter, die Christopher Paolini mit seinem im November 2023 erscheinenden neuen Roman »Murtagh« noch weiter ausbaut. Alle Bände der »World of Eragon«: Eragon – Das Vermächtnis der Drachenreiter (Band 1) Eragon – Der Auftrag des Ältesten (Band 2) Eragon – Die Weisheit des Feuers (Band 3) Eragon – Das Erbe der Macht (Band 4) Die Gabel, die Hexe und der Wurm. Geschichten aus Alagaësia. Band 1: Eragon (Kurzgeschichten, Band 1) Murtagh – Eine dunkle Bedrohung",http://books.google.com/books/content?id=hymy2N8qokYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A Prayer for Owen Meany,"John Irvings Auseinandersetzung mit einem halben Jahrhundert amerikanischer Geschichte, mit der Frage nach dem Glauben in einer chaotischen Welt: die bewegende Geschichte der einzigartigen Freundschaft zwischen Owen Meany und John Wheelwright. Man schreibt den Sommer 1953, die beiden elfjährigen Freunde Owen und John spielen Baseball, als ein fürchterliches Unglück passiert... """,http://books.google.com/books/content?id=H2FtAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Poisonwood Bible,No description available.,http://books.google.com/books/content?id=zYk7kgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Red Tent,"Ljudmila Ulitzkaja erzählt von drei Freunden, die in der Sowjetunion zu Dissidenten werden. Ilja, der Fotograf, vervielfältigt und verbreitet in seiner Freizeit verbotene Literatur. Als sich Jahre später herausstellt, dass er auch für den KGB tätig war, muss er fliehen. Micha ist Jude und schreibt seit seiner Jugend Gedichte. Wegen seiner Nähe zum Samisdat wird er denunziert und kommt ins Lager. Sanja kümmert sich während Michas Haft um dessen Frau und kleine Tochter. Dennoch hält ihn nach Michas Tod nichts mehr in der Sowjetunion. In ihrem großen Gesellschaftspanorama erzählt Ulitzkaja von Mut und Verrat, irregeleiteten Idealen, menschlicher Größe und Niedertracht - und immer wieder von der Liebe, die das Handeln der Menschen antreibt.",http://books.google.com/books/content?id=w5RPAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Sea of Monsters,"Percys siebtes Schuljahr verläuft einigermaßen ruhig - einigermaßen. Wenn da nicht diese Albträume wären, in denen sein bester Freund in Gefahr schwebt. Und tatsächlich: Grover befindet sich in der Gewalt eines Zyklopen. Zu allem Übel ist Camp Half-Blood nicht mehr sicher: Jemand hat den Baum der Thalia vergiftet, der die Grenzen dieses magischen Ortes bisher geschützt hat. Nur das goldene Vlies kann da noch helfen. Wird es Percy gelingen, Grover und das Camp zu retten? Das dürfte für einen Halbgott wie ihn eigentlich kein Problem sein. Doch seine Feinde haben noch einige böse Überraschungen auf Lager ...",http://books.google.com/books/content?id=hTg5DwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Adventures of Huckleberry Finn,"In ""Die Abenteuer von Tom Sawyer und Huckleberry Finn"" entführt Mark Twain die Leser in die pulsierende Welt des amerikanischen Hinterlandes des 19. Jahrhunderts. Durch die lebhafte Erzählung von Tom Sawyer, einem mutigen und einfallsreichen Jungen, sowie Huckleberry Finn, seinem rebellischen Freund, wird ein facettenreiches Bild von Jugend, Freiheit und moralischen Dilemmas gezeichnet. Twains Stil zeichnet sich durch seinen humorvollen Ton und seine scharfsinnige Beobachtungsgabe aus, während er zugleich die sozialen Ungerechtigkeiten und die Rassenproblematik seiner Zeit aufs Korn nimmt. Diese illustrierte Ausgabe bringt nicht nur die literarische Brillanz, sondern auch die visuellen Elemente zur Geltung, die den Charme und die Atmosphäre des Erzählten verstärken. Mark Twain, geboren als Samuel Langhorne Clemens, wuchs in Missouri auf und erlebte die sozialen Umwälzungen seiner Zeit hautnah. Seine eigenen Erfahrungen als Flussschiffer und Abenteurer prägten nicht nur seinen Schreibstil, sondern auch die Themen seiner Werke. Twain war ein scharfer Kritiker der Gesellschaft und nutzte seine literarischen Fähigkeiten, um die Missstände seiner Zeit anzuprangern. Seine Protagonisten spiegeln oft seine eigenen Werte und Überzeugungen wider – insbesondere den Wunsch nach Freiheit und persönlicher Entfaltung. Dieses Buch ist nicht nur eine fesselnde Lektüre für Liebhaber klassischer Literatur, sondern ein zeitloses Werk, das auch moderne Leser anspricht. Die Abenteuer von Tom und Huck bieten nicht nur einen nostalgischen Blick auf die Kindheit, sondern regen auch zur Reflexion über soziale Themen und individuelle Entscheidungen an. Die illustrierte Ausgabe ist ein ideales Geschenk für Literaturinteressierte und lädt ein, in die zauberhafte, zugleich herausfordernde Welt von Twains charakteristischen Helden einzutauchen.",http://books.google.com/books/content?id=jsEIEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Charlie and the Chocolate Factory,"So ein sagenhaftes Glück für den armen hungrigen Charlie! Er darf die geheimnisvolle Fabrik besichtigen, wo Schokoladenströme fliessen und die tollsten Erfindungen gemacht werden. Ab 7. - Vgl. Kinofilm.",http://books.google.com/books/content?id=1wjPMgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
A Little Princess,"Kinderroman von Frances Hodgson Burnett - in neuer Übersetzung ins Deutsche: Captain Ralph Crewe, ein wohlhabender englischer Witwer, hat sein einziges Kind, Sara, in Indien aufgezogen, wo er bei der britischen Armee stationiert ist. Da das indische Klima als zu rau für ihre Kinder gilt, schicken die dort lebenden britischen Familien ihre Kinder traditionell auf ein Internat in England. Der Hauptmann meldet seine siebenjährige Tochter in Fräulein Minchins Mädcheninternat in London an und ist so vernarrt in seine Tochter, dass er bei der Schulleiterin eine Sonderbehandlung und außergewöhnlichen Luxus für Sara bestellt und bezahlt, wie z. B. ein eigenes Zimmer für sie mit einem persönlichen Dienstmädchen und einem separaten Wohnzimmer (siehe Stubenmädchen), sowie Saras eigene Privatkutsche und ein Pony. Fräulein Minchin bewundert Sara offen wegen ihres Geldes, ist aber insgeheim wegen ihres Reichtums verbittert über sie. Trotz dieses Reichtums ist Sara nicht egozentrisch, unhöflich, ungehorsam oder versnobt, sondern freundlich, großzügig und mitfühlend. Sie schließt Freundschaft mit Ermengarde St. John, dem Dummkopf der Schule, mit Lottie, einer vierjährigen Schülerin, die zu Wutausbrüchen neigt, und mit Becky, dem niedrigen, verkümmerten Küchenmädchen. Als Sara den Beinamen ""Prinzessin"" erhält, macht sie sich dessen positive Elemente in ihrer natürlichen Gutherzigkeit zu eigen. Nach einiger Zeit wird Saras elfter Geburtstag bei Fräulein Minchin mit einem rauschenden Fest gefeiert, an dem alle ihre Freunde und Klassenkameraden teilnehmen. Gerade als die Feier zu Ende geht, erfährt Fräulein Minchin von Captain Crewes unglücklichem Ableben durch das Dschungelfieber. Vor seinem Tod hatte der ehemals wohlhabende Kapitän sein gesamtes Vermögen verloren; ein enger Freund aus seiner Schulzeit hatte ihn überredet, seine Anlagen zu verkaufen und mit dem Erlös ein Netz von Diamantenminen zu entwickeln. Der Plan scheitert, und die kleine Sara bleibt als Waise und mittellos zurück, ohne eine andere Familie und ohne ein Dach über dem Kopf. Fräulein Minchin bleibt mit einer beträchtlichen unbezahlten Rechnung für Saras Schulgeld und Luxusgüter, einschließlich ihrer Geburtstagsfeier, zurück. Wütend und unbarmherzig nimmt sie Sara alles, was sie besitzt (außer ein paar alten Kutten und ihrer Puppe Emily), lässt sie in einer kalten und schlecht eingerichteten Dachkammer wohnen und zwingt sie, ihren Lebensunterhalt als Dienstmädchen zu verdienen. Außerdem zwingt sie Sara, viel zu kurze Kutten zu tragen, aus deren kurzen Röcken ihre dünnen Beine herausschauen. In den nächsten zwei Jahren wird Sara von Fräulein Minchin und den anderen Bediensteten misshandelt, während Becky sehr nett zu ihr ist. Amelia, Fräulein Minchins freundliche jüngere Schwester, beklagt die Art und Weise, wie Sara behandelt wird, ist aber zu willensschwach, um dies anzusprechen. Sara wird ausgehungert, muss lange arbeiten, wird bei jedem Wetter ins Freie geschickt, ist schlecht gekleidet in abgenutzten und verschlissenen Kleidern und hat weder Wärme noch ein bequemes Bett auf dem Dachboden. Trotz ihrer Entbehrungen wird Sara von ihren Freunden getröstet und nutzt ihre Fantasie, um mit der Situation fertig zu werden, indem sie sich vorstellt, sie sei eine Gefangene in der Bastille oder eine als Dienerin verkleidete Prinzessin. Sara ist auch weiterhin freundlich zu allen, auch zu denen, die sie ärgern oder schlecht behandeln. Eines Tages findet sie auf der Straße eine Münze und kauft damit in einer Bäckerei Brötchen. Obwohl sie sehr hungrig ist, verschenkt sie den größten Teil der Brötchen an ein Bettelmädchen, das noch hungriger ist als sie selbst. Der Bäckereibesitzer sieht dies und will Sara belohnen, aber sie ist verschwunden, und so gibt der Ladenbesitzer dem Bettelmädchen stattdessen Brot und eine warme Unterkunft für Sara ...",http://books.google.com/books/content?id=PnqwEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Fifty Shades of Grey,"Erzählt aus Sicht der schönsten Augen der Welt - Christian Grey. Sehen Sie die Welt von Fifty Shades of Grey auf ganz neue Weise – durch die Augen von Christian Grey. Erzählt in Christians eigenen Worten, erfüllt mit seinen Gedanken, Vorstellungen und Träumen zeigt E L James die Liebesgeschichte, die Millionen von Lesern auf der ganzen Welt in Bann geschlagen hat, aus völlig neuer Perspektive. Christian Grey hat in seiner Welt alles perfekt unter Kontrolle. Sein Leben ist geordnet, diszipliniert und völlig leer – bis zu jenem Tag, als Anastasia Steele in sein Büro stürzt. Ihre Gestalt, ihre perfekten Gliedmaßen und ihr weich fallendes braunes Haar stellen sein Leben auf den Kopf. Er versucht, sie zu vergessen und wird stattdessen von einem Sturm der Gefühle erfasst, den er nicht begreift und dem er nicht widerstehen kann. Anders als all die Frauen, die er bisher kannte, scheint die schüchterne, weltfremde Ana direkt in sein Innerstes zu blicken – vorbei an dem erfolgreichen Geschäftsmann, vorbei an Christians luxuriösem Lebensstil und mitten in sein zutiefst verletztes Herz. Kann Christian mit Ana an seiner Seite die Schrecken seiner Kindheit überwinden, die ihn noch immer jede Nacht verfolgen? Oder werden seine dunklen Begierden, sein Zwang zur Kontrolle und der Selbsthass, der seine Seele erfüllt, diese junge Frau vertreiben und damit die zerbrechliche Hoffnung auf Erlösung zerstören, die sie ihm bietet?",http://books.google.com/books/content?id=FtLaCQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Love in the Time of Cholera,No description available.,http://books.google.com/books/content?id=H88iGQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Neverending Story,No description available.,http://books.google.com/books/content?id=DJUtEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Misery,"Amerikanischer Autor, geb. 1947. - In einem Schneesturm hat der Autor Paul Sheldon einen Autounfall, bei dem er sich beide Beine bricht. Die ehemalige Krankenschwester Annie Wilkes findet Paul und bringt ihn zu sich nach Hause, wo sie ihn auch versorgt. Es stellt sich heraus, daß Annie Paul Sheldons größter Fan ist. Sie verfolgt seine Romane mit der Heldin Misery Chastain geradezu fanatisch. Paul, der Misery in seinem neuesten Manuskript sterben läßt, gibt seiner Wohltäterin Annie den ungedruckten Roman aus Dankbarkeit für ihre Hilfe zu lesen. Doch dann verändert Annie ihr Verhalten gegenüber Paul: Ihre Wutausbrüche wegen Kleinigkeiten häufen sich, und Paul begreift, daß er einer Geisteskranken ausgeliefert ist. Außer sich vor Zorn über den Tod ihrer Lieblingsfigur Misery, zwingt Annie Paul für sie - und nur für sie - einen Roman zu schreiben, in dem Misery weiterlebt. Und Paul muß einsehen, daß das auch für ihn die einzige Überlebenschance bedeutet, denn Annie hat, wie er herausfindet, ein schreckliches Geheimnis ...",http://books.google.com/books/content?id=9a7Xg-SGmFYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Mistborn: The Final Empire,"Vom Untergang eines magischen Reiches Seit über eintausend Jahren ist die Welt von Asche bedeckt. Seit über eintausend Jahren herrscht der unsterbliche Lord Ruler und versklavt das Volk der Skaa. Die Hoffnung scheint längst verloren, bis eines Tages ein junger Mann mächtige Fähigkeiten entwickelt und eine Schar von Rebellen versammelt. Sein Plan: Er will sie ebenfalls die Kontrolle über die magischen Kräfte lehren - und den allmächtigen Lord Ruler stürzen? Der atemberaubende Auftakt einer neuen grossen Saga. Brandon Sanderson, 1975 in Nebraska geboren, schreibt seit seiner Schulzeit phantastische Geschichten. Er studierte Englische Literatur und unterrichtet Kreatives Schreiben. Sein Debütroman ""Elantris"" avancierte in Amerika auf Anhieb zum Bestseller. Seit seinen Jugendbüchern um den jungen Helden Alcatraz und seiner grossen Saga um die ""Kinder des Nebels"" gilt der junge Autor auch in Deutschland als einer der neuen Stars der Fantasy. Er wurde auserwählt, Robert Jordans grossen Fantasy-Zyklus ""Das Rad der Zeit"" fortzuschreiben. Brandon Sanderson lebt mit seiner Familie in Provo, Utah.",http://books.google.com/books/content?id=2A71PQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Wonder,"A footprint materializes mysteriously on a deserted shore; a giant helmet falls from the sky; a traveler awakens to find his horse dangling from a church steeple. Eighteenth-century fiction brims with moments such as these, in which the prosaic rubs up against the marvelous. While it is a truism that the period's literature is distinguished by its realism and air of probability, Eighteenth-Century Fiction and the Reinvention of Wonder argues that wonder is integral to—rather than antithetical to—the developing techniques of novelistic fiction. Positioning its reader on the cusp between recognition and estrangement, between faith and doubt, modern fiction hinges upon wonder. Eighteenth-Century Fiction and the Reinvention of Wonder unfolds its new account of fiction's rise through surprising readings of classic early novels—from Daniel Defoe's Robinson Crusoe to Jane Austen's Northanger Abbey—and brings to attention lesser-known works, most notably Rudolf Raspe's Baron Munchausen's Narrative of His Marvellous Travels. In this bold new account, the eighteenth century bears witness not to the world's disenchantment but rather to wonder's relocation from the supernatural realm to the empirical world, providing a reevaluation not only of how we look back at the Enlightenment, but also of how we read today.",http://books.google.com/books/content?id=cycDBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
It Ends with Us,"Lily verliebt sich in Ryle und beginnt eine Beziehung mit ihm. Doch sie kann ihre Jugendliebe Atlas nicht vergessen. Ryle reagiert auf Atlas mit einer Heftigkeit, die Lily nie erwartet hätte und die sie an sich selber zweifeln lässt. Ab 15.",
Spirit Bound,"Dimitri gave Rose the ultimate choice. But she chose wrong... After a long and heartbreaking journey to Dimitri's birthplace in Siberia, Rose Hathaway has finally returned to St. Vladimir's-and to her best friend, Lissa. It is nearly graduation, and the girls can't wait for their real lives beyond the Academy's iron gates to begin. But Rose's heart still aches for Dimitri, and she knows he's out there, somewhere. She failed to kill him when she had the chance. And now her worst fears are about to come true. Dimitri has tasted her blood, and now he is hunting her. And this time he won't rest until Rose joins him... forever.",http://books.google.com/books/content?id=xnUb0ToUgSwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A Court of Mist and Fury,"»Ich kenne dich in- und auswendig, Rhys. Und es gibt nichts, was ich nicht an dir liebe – mit jeder Faser meines Seins.« Feyre hat ihren Seelengefährten gefunden. Doch es ist nicht Tamlin, sondern Rhys. Trotzdem kehrt sie an den Frühlingshof zurück, um mehr über Tamlins Pläne herauszufinden. Er ist auf einen gefährlichen Handel mit dem König von Hybern eingegangen und der will nur eins – Krieg. Feyre lässt sich damit auf ein gefährliches Doppelspiel ein, denn niemand darf von ihrer Verbindung zu Rhys erfahren. Eine Unachtsamkeit würde den sicheren Untergang nicht nur für Feyre, sondern für ganz Prythian bedeuten. Doch wie lange kann sie ihre Absichten geheim halten, wenn es Wesen gibt, die mühelos in Feyres Gedanken eindringen können? Kennen Sie bereits die weiteren Serien von Sarah J. Maas bei dtv? »Throne of Glass« »Crescent City«",http://books.google.com/books/content?id=DSI_DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Big Little Lies,No description available.,
Atlas Shrugged,No description available.,
Their Eyes Were Watching God,No description available.,
Atonement,Die Abgründe und die Macht der Leidenschaft und der Phantasie: An einem heißen Tag im Sommer 1935 spielt die dreizehnjährige Briony Tallis Schicksal und verändert dadurch für immer das Leben dreier Menschen.,http://books.google.com/books/content?id=1NttAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Mark of Athena,"Action, Abenteuer und ganz viel Lachen – alle Bände der Fantasy-Serie »Helden des Olymp« in einer E-Box! Jason erinnert sich an gar nichts – nicht einmal an seine besten Freunde Piper und Leo. Und was hat er in Camp Half-Blood zu suchen, wo angeblich nur Kinder von griechischen Göttern aufgenommen werden? Zu allem Überfluss gehören die drei Freunde laut Prophezeiung zu den legendären sieben Halbgöttern, die den Olymp vor dem Untergang bewahren sollen. Kein Problem – Leo treibt einen mechanischen Drachen als Transportmittel auf und los geht's! Und dann gilt es auch noch einen seit längerem verschwundenen Halbgott zu finden, einen gewissen Percy Jackson ...",http://books.google.com/books/content?id=Zrq9DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A Midsummer Night’s Dream,"""With detailed notes from the world's leading center for Shakespeare studies""--Cover.",http://books.google.com/books/content?id=ycgKZFCTSzQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Where the Crawdads Sing,No description available.,http://books.google.com/books/content?id=Z_pkzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Alice in Wonderland,"Dieses Buch ist in einfacher Sprache geschrieben. Bei der Übersetzung in einfache Sprache folgen wir weitgehend der Norm DIN 8581-1. Das Buch eignet sich für Leserinnen und Leser, die eine eingeschränkte Lesefähigkeit haben (LRS), Deutsch als Zweitsprache lernen, mit komplexen Texten Schwierigkeiten haben oder einfach ein Buch in kompakter, lesefreundlicher Form genießen wollen. ""Alice im Wunderland"" ist ein klassischer Roman von Lewis Carroll, erstmals veröffentlicht im Jahr 1865. Diese phantastische Erzählung erzählt die Abenteuer des jungen Mädchens Alice, das einem weißen Kaninchen in ein magisches Untergrundreich folgt. In dieser wundersamen Welt trifft Alice auf eine Vielzahl von unvergesslichen Figuren wie die Grinsekatze, die verrückte Hutmacher, die Märzhase und die tyrannische Herzkönigin. Jede Begegnung stellt Alice vor neue Herausforderungen und Rätsel, die sie mit Witz und oft mit einer Prise gesundem Menschenverstand löst. Eines der markantesten Merkmale des Buches ist seine spielerische Manipulation der Logik, was es zu einem der ersten Beispiele in der literarischen Nonsens-Tradition macht. Die Welt, in die Alice stolpert, ist bizarr und die Regeln der Realität gelten hier nicht. Stattdessen wird Alice mit absurden Gedichten, paradoxen Rätseln und merkwürdigen Gesetzen konfrontiert, die sie und den Leser gleichermaßen amüsieren und verwirren. Das Buch bleibt ein zeitloser Klassiker, der für seine kreativen Wortspiele, seine humorvolle Erzählung und seine Fähigkeit, die Realität auf den Kopf zu stellen, geliebt wird.",http://books.google.com/books/content?id=CNwSEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
All the Light We Cannot See,"Pulitzer-Preis für Literatur 2015 Saint-Malo 1944: Die erblindete Marie-Laure flieht mit ihrem Vater, einem Angestellten des „Muséum National d’Histoire Naturelle“, aus dem besetzten Paris zu ihrem kauzigen Onkel in die Stadt am Meer. Verborgen in ihrem Gepäck führen sie den wahrscheinlich kostbarsten Schatz des Museums mit sich. Werner Hausner, ein schmächtiger Waisenjunge aus dem Ruhrgebiet, wird wegen seiner technischen Begabung gefördert und landet auf Umwegen in einer Spezialeinheit der Wehrmacht, die die Feindsender der Widerstandskämpfer aufzuspüren versucht. Während Marie-Laures Vater von den Deutschen verschleppt und verhört wird, dringt Werners Einheit nach Saint-Malo vor, auf der Suche nach dem Sender, der die Résistance mit Daten versorgt … Hochspannend und mit einer außergewöhnlichen Sprachkunst erzählt Anthony Doerr die berührende Geschichte von Marie-Laure und Werner, deren Lebenswege sich für einen schicksalsträchtigen Augenblick kreuzen.",http://books.google.com/books/content?id=n7MNBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Roots: The Saga of an American Family,No description available.,
"Eat, Pray, Love",No description available.,http://books.google.com/books/content?id=6TDNSAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Wise Man's Fear,"Erleben Sie, wie Kvothe im Feenreich der betörenden Felurian begegnet, die ihn durch ihre märchenhafte Schönheit fast willenlos macht. Nur durch eine List kann er sich aus ihren Armen befreien. Und sein Weg führt ihn weiter zu den stillen Kriegern der Adem, von denen er die hohe Kunst des Lethani erlernt und das Schwert Saicere verliehen bekommt. Mit ihm und einem von Felurian gewobenen Schattenmantel tritt er die Reise zurück zum Hof des mächtigen Maer an, doch unterwegs wartet entsetzliches Unheil auf ihn ... Dieser 2. Teil des Nachfolgebands von »Der Name des Windes« steckt wieder voller neuer Geschichten und Ideen von Patrick. Der Band ist daher so umfangreich geworden, dass man ihn teilen musste in zwei Bände - »Die Furcht des Weisen 1« und »Die Furcht des Weisen 2«. Mit »Die Furcht des Weisen« legt Patrick Rothfuss den zweiten Teil der Königsmörder-Chronik-Trilogie vor, der in den USA bei Kritikern und Fantasylesern begeistert aufgenommen wurde und schon bald einen der vorderen Plätze in der New York Times Bestsellerliste belegte. 2007 wurde Patrick Rothfuss für seinen Roman »Der Name des Windes« mit dem Quill Award sowie dem Pulishers Weekly Award für das beste Fantasy-Buch des Jahres ausgezeichnet.",http://books.google.com/books/content?id=MI1RrwhS_3YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The House of the Spirits,No description available.,
